true_class,kind,pred_class,idx_in_test,prob_cog,prob_aff,prob_mot,true_cog,true_aff,true_mot,response,story,n_chars,n_words,n_q_marks,n_excl,n_you_pron,n_cog_markers,n_aff_markers,n_mot_markers
Cognitive,confident_correct,Cognitive,522,0.3964338004589081,0.27828332781791687,0.32528290152549744,0.5,0.0714285746216774,0.4285714328289032,"It's evident that you felt overwhelmed and stressed while trying to complete a large quantity of work in such a limited time frame. The pressure of task deadlines lead you to cut corners, which seemingly left you feeling unhappy and anxious about meeting all the expectations. It sounds like you were pushing yourself hard, trying to lose yourself in the work to cope with the anxiety. Despite the relief it was over, the stress you endured should be recognized and validated.",No consent to share,476,81,0,0,5,1,1,0
Cognitive,confident_correct,Cognitive,853,0.39348113536834717,0.2964211106300354,0.31009775400161743,0.3544303774833679,0.3037974536418915,0.3417721390724182,"It's clear you were experiencing a significant amount of stress and pressure during the holiday season, aiming to create a memorable Christmas for your daughter. The weight of trying to do everything in a limited time frame must have been overwhelming. It's evident the love you have for your daughter pushed you to take on a lot, despite the anxiety it caused.",No consent to share,361,62,0,0,5,1,0,0
Cognitive,confident_correct,Cognitive,33,0.3897915780544281,0.3108888864517212,0.2993195354938507,0.3896103799343109,0.31168830394744873,0.29870128631591797,"It sounds like you experienced a multitude of emotions during these two Christmas events. It's clear you felt immense disappointment and frustration when you had your visa dates wrong last year, especially having to spend Christmas Eve alone at an airport. However, your spirits seemed to have been significantly uplifted when you were finally able to enjoy a joyful and fulfilling Christmas with your girlfriend and her family abroad.",No consent to share,435,69,0,0,7,1,0,0
Cognitive,confident_correct,Cognitive,613,0.389765202999115,0.3130844831466675,0.29715025424957275,0.3333333432674408,0.3333333432674408,0.3333333432674408,"It's wonderful to know that you received a gift you dearly desired, but decided not to purchase because of its price. It must have been a thrilling surprise to have been gifted this, enhancing your happiness and sense of appreciation. It's nice to see how much you value and cherish this thoughtful gift.
",I was very happy with a gift I was given. I got given something I had decided not to buy because of the cost,308,53,0,0,4,4,0,0
Cognitive,confident_correct,Cognitive,1007,0.389111191034317,0.304348886013031,0.3065398633480072,0.3820224702358246,0.2808988690376282,0.33707866072654724,"It's apparent that you felt deeply moved and touched by the emotional depth of your girlfriend's Christmas card. The card seems to have affirmed your importance in her life, making you feel extremely valuable and cherished in the relationship. This experience has evidently given you a sense of comfort, joy and secure attachment, feelings you appear to significantly cherish.","I received a lovely written card from my girlfriend for Christmas. They are not normally very verbally affectionate but in the card, they wrote some very sweet messages like ""I hope you know how much I am glad you are in my life"" as well as funny jokes. This made me feel very emotional, I nearly cried and gave them a big hug. I felt very valued, happy, comforted and safe in my relationship.",376,59,0,0,6,1,2,0
Cognitive,confident_wrong,Motivational,441,0.33595266938209534,0.30352550745010376,0.3605218529701233,0.3918918967247009,0.2567567527294159,0.3513513505458832,"I'm really sorry to hear about your car accident, accidents can be quite a shock and it's normal to feel deflated afterwards. I admire your perspective though, recognizing that unexpected things can happen and we need to be ready to handle them. Remember, it's okay to take some time for yourself to recover from this shock and I'm here if you need any support during this time.",I smashed my car a little bit whilst driving and it made me feel initially really shocked and sort of deflated. It made me realise that little things can go wrong like this and you have to be ready to deal with it.,378,67,0,0,3,0,2,2
Cognitive,confident_wrong,Motivational,774,0.3464733362197876,0.29955440759658813,0.3539722263813019,0.3571428656578064,0.3265306055545807,0.3163265287876129,"I'm really sorry to hear about your granddad's passing. It's completely understandable that you're feeling a blend of sadness and confusion, especially because your relationship with him wasn't very close. Remember, it's totally okay to grieve someone's loss, even if you didn't know them well.",i found out my grandad passed away it mad me really sad but i felt like i shoudlnt feel sad because i didnt know him well,294,45,0,0,4,0,3,1
Cognitive,confident_wrong,Motivational,723,0.34141212701797485,0.3053709864616394,0.35321688652038574,0.38235294818878174,0.3235294222831726,0.29411765933036804,"I'm genuinely sorry to hear about your gramp's diagnosis; it must be a challenging time for you and your family. Remember, it's okay to feel all the emotions that come with such news and you can lean on the people closest to you. Your gramp is lucky to have someone as loving and understanding as you by his side during this time. Know that every moment you share with him now is precious and valuable.",No consent to share,402,75,0,0,8,3,2,2
Cognitive,confident_wrong,Motivational,713,0.34204694628715515,0.30554309487342834,0.3524099886417389,0.35922330617904663,0.3203883469104767,0.3203883469104767,"It certainly sounds like you're experiencing a lot of mixed emotions right now, filled with both incredible pride and happiness for Kelsie's new journey, yet also wrestling with the deep sorrow of having to part ways. It's clear that her departure is causing you to feel a significant sense of loss, and it’s totally understandable – you're not just losing a friend's physical presence, but a constant part of your life.",No consent to share,420,71,0,0,4,2,1,0
Cognitive,confident_wrong,Motivational,299,0.35189905762672424,0.29579630494117737,0.352304607629776,0.3465346395969391,0.3366336524486542,0.31683167815208435,Congratulations on completing your last assignment of the semester! Presenting to a large group can be incredibly challenging and you should be immensely proud of the courage and determination you exemplified. Remember this victory as a testament to your potential to conquer any challenge university throws at you. You're absolutely capable and you've got this!,I handed in my last university assignment for this semester which was a presentation in front of a large group of people.,362,55,0,2,6,0,0,2
